web_scraper_order,web_scraper_start_url,name,category_link,name_divi,divi_link,description_divi,divi_title,pakket_divi,categories_divi
"1765314276-11","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Verwijderen van de urinekatheter (legen met spuitje)","https://indiveo.nl/divis/verwijderen-van-de-urinekatheter/","Een patiënt met een urinekatheter mag deze zelf thuis verwijderen. Dit kan de patiënt het beste in de badkamer doen. 



In deze Divi krijgen patiënten informatie over hoe zij zelf een urinekatheter kunnen verwijderen. Dit wordt uitgelegd aan de hand van het mannelijk lichaam en het vrouwelijk lichaam. Ook krijgen patiënten informatie over de periode na het verwijderen van de katheter.","Verwijderen van de urinekatheter (legen met spuitje)","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314279-12","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Verwijderen van de urinekatheter (ballonpoort doorknippen)","https://indiveo.nl/divis/verwijderen-van-de-urinekatheter-ballonpoort-doorknippen/","In deze Divi leert de patiënt hoe hij of zij zelf een urinekatheter kan verwijderen door de ballonpoort door te knippen. De patiënt krijgt uitleg over hoe een katheter werkt, welke materialen nodig zijn en hoe de handeling stap voor stap veilig kan worden uitgevoerd. De patiënt wordt geïnformeerd door middel van animatie, illustratie en tekst.","Verwijderen van de urinekatheter (ballonpoort doorknippen)","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314281-13","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Verwijderen van de blaas met de aanleg van een urinestoma","https://indiveo.nl/divis/verwijderen-van-de-blaas-met-de-aanleg-van-een-urinestoma/","Tijdens een operatie wordt uw blaas verwijderd. Tijdens deze operatie wordt na het verwijderen van de blaas een stoma aangelegd. Hiervoor gebruikt de uroloog een stukje dunne darm van ongeveer 15 centimeter. 



Hier krijgt de patiënt informatie over de operatie, de voorbereiding en nazorg.","Verwijderen van de blaas met de aanleg van een urinestoma","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Urologie"
"1765314283-14","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Verwijderen van de blaas met de aanleg van een neoblaas","https://indiveo.nl/divis/verwijderen-van-de-blaas-met-de-aanleg-van-een-neoblaas/","Tijdens een operatie wordt de blaas verwijderd. Na het verwijderen van de blaas wordt er een nieuwe blaas aangelegd. Hiervoor wordt 40 tot 60 cm van de dunne darm gebruikt. De opvangruimte die daardoor ontstaat, wordt neoblaas genoemd. Deze komt op de plaats van de oorspronkelijke blaas.



Hier krijgt de patiënt meer informatie over de operatie, de voorbereiding en de nazorg.","Verwijderen van de blaas met de aanleg van een neoblaas","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Urologie"
"1765314285-15","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Urodynamisch onderzoek","https://indiveo.nl/divis/urodynamisch-onderzoek/","Een urodynamisch onderzoek is een onderzoek naar de werking van de blaas en de plasbuis. Tijdens het onderzoek wordt er onderzocht hoe het ophouden van plas en het uitplassen gaat. Het doel is om achter de oorzaak te komen van plasklachten, zoals moeilijk kunnen plassen of ongewild urineverlies.



In deze Divi krijgen patiënten uitleg over het urodynamisch onderzoek. In een animatie wordt het onderzoek stap voor stap uitgelegd en in de rest van de Divi krijgen patiënten informatie over de voorbereiding en nazorg van het onderzoek.","Urodynamisch onderzoek","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314287-16","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Stomamaterialen","https://indiveo.nl/divis/stomamaterialen/","Als iemand een stoma heeft, heeft is er ook stomamateriaal nodig. Tijdens het eerste bezoek op de stomapoli bespreekt de patiënt samen met de stomaverpleegkundige welk materiaal het beste bij zijn/haar situatie past.



Er zijn meerdere soorten stomamaterialen, zoals eendelig stomamateriaal, tweedelig stomamateriaal met een klikkoppeling en tweedelig stomamateriaal met plakkoppeling.

Hier krijgt de patiënt informatie over de soorten materialen en hoe deze gedragen moeten worden. Daarnaast worden de veelgestelde vragen beantwoord.","Stomamaterialen","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Maag-darm-leverziekten, Urologie"
"1765314289-17","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Prostaatverwijdering","https://indiveo.nl/divis/prostaatverwijdering/","In deze Divi krijgt de patiënt uitleg over het verwijderen van de prostaat.



De patiënt krijgt informatie over hoe hij zich kan voorbereiden op de operatie, hoe de operatie verloopt, welke risico's er zijn en nazorg.","Prostaatverwijdering","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Urologie"
"1765314291-18","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Prostaatpunctie","https://indiveo.nl/divis/prostaatpunctie/","Een prostaatpunctie is een onderzoek waarbij de uroloog een stukje weefsel uit uw prostaat haalt om te onderzoeken. In deze Divi wordt het verloop van de punctie aan de patiënt uitgelegd. Daarnaast krijgt de patiënt informatie over de voorbereiding en nazorg van de punctie.



Het afgenomen weefsel van de prostaat wordt vervolgens in een laboratorium onderzocht. In een verdiepende animatie wordt uitgelegd hoe dit weefselonderzoek verloopt.","Prostaatpunctie","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Radiologie en beeldvormende technieken, Urologie"
"1765314293-19","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Oefeningen tijdens een behandeltraject bij kanker","https://indiveo.nl/divis/oefeningen-tijdens-een-behandeltraject-bij-kanker/","Iemand die behandeld wordt voor kanker, doet er goed aan om de conditie op peil te houden of te verbeteren, en om spieren sterker te maken. Dit kan door middel van verschillende oefeningen. Hier vindt u een overzicht van oefeningen die zowel thuis als in het ziekenhuis kunnen worden gedaan.","Oefeningen tijdens een behandeltraject bij kanker","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Borstkanker, Chirurgie, Fysiotherapie, Geriatrie, Gynaecologie en verloskunde, Huisarts, Interne geneeskunde, Longziekten, Maag-darm-leverziekten, Oncologie, Urologie"
"1765314295-20","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Leven met een urostoma","https://indiveo.nl/divis/leven-met-een-urostoma/","Wanneer plas het lichaam niet meer via de natuurlijke weg kan verlaten, kan een patiënt een urostoma krijgen. Een stoma is een stukje darm dat door een opening in de buik naar buiten is gehaald en op de huid is vastgehecht. Op een stoma kan een zakje worden aangesloten waarin de plas opgevangen wordt.



In deze Divi krijgen patiënten via een animatie uitleg over wat een stoma is en hoe deze wordt uitgelegd. Daarnaast wordt er in de Divi aandacht besteed aan het leven met een urostoma.","Leven met een urostoma","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Urologie"
"1765314298-21","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Histologisch biopt","https://indiveo.nl/divis/histologisch-biopt/","Een histologisch biopt is onderzoek van weefsel. Met een histologisch biopt neemt de radioloog een stukje weefsel weg om dit voor verder onderzoek op te sturen naar het laboratorium.","Histologisch biopt","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Borstkanker, Chirurgie, Geriatrie, Gynaecologie en verloskunde, Interne geneeskunde, Maag-darm-leverziekten, Oncologie, Radiologie en beeldvormende technieken, Reumatologie, Urologie"
"1765314299-22","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Gezond leven bij kanker","https://indiveo.nl/divis/gezond-leven-bij-kanker/","Gezond leven is belangrijk, zeker wanneer je de diagnose kanker of voorstadium van kanker bij je wordt geconstateerd. Een gezond lichaam reageert immers beter op een behandeling dan een ongezond lichaam. Hier bieden wij handvatten die de patiënt kan helpen om zo goed en gezond mogelijk te leven - voor, tijdens en ook na de behandeling.","Gezond leven bij kanker","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Borstkanker, Chirurgie, Fysiotherapie, Geriatrie, Gynaecologie en verloskunde, Huisarts, Longziekten, Maag-darm-leverziekten, Oncologie, Urologie"
"1765314301-23","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Echografie van de prostaat","https://indiveo.nl/divis/echografie-van-de-prostaat/","Met een echografie van de prostaat wordt de prostaat met behulp van geluidsgolven bekeken. De arts brengt bij de patiënt via de anus en een echo in en kan zo de prostaat van verschillende kanten bekijken. Aan de patiënt wordt in deze Divi uitgelegd wat het onderzoek inhoudt en hoe de patiënt zich op het onderzoek moet voorbereiden.","Echografie van de prostaat","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Radiologie en beeldvormende technieken, Urologie"
"1765314303-24","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Dubbel J-katheter","https://indiveo.nl/divis/dubbel-j-katheter/","Wanneer een patiënt een vernauwing, verkleving of niersteen in de urineleider heeft, kan het voorkomen dat de urine niet goed naar de blaas kan lopen. Een dubbel J katheter is een katheter die geplaatst kan worden in de urineleider tussen de nier en de blaas. De urine kan vervolgens weer goed door en langs de katheter van de nier naar de blaas lopen. 



In deze Divi zien patiënten in een animatie hoe de dubbel J katheter geplaatst wordt. Patiënten krijgen daarnaast uitleg over de voorbereiding, nazorg en risico's.","Dubbel J-katheter","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314305-25","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Cystoscopie","https://indiveo.nl/divis/cystoscopie/","Een cystoscopie is een kijkonderzoek waarbij er met een kleine camera gekeken wordt naar de binnenkant van uw blaas. Bij mannen wordt er ook naar de plasbuis en het prostaatgebied gekeken. 



In deze Divi wordt ingegaan op de voorbereiding, de nazorg en de risico’s van het onderzoek.","Cystoscopie","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314307-26","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Bijwerkingen radiotherapie bij prostaatkanker","https://indiveo.nl/divis/bijwerkingen-radiotherapie-bij-prostaatkanker/","Radiotherapie bij prostaatkanker kan veel bijwerkingen veroorzaken. Niet alleen op de korte - maar ook de lange termijn. In de Divi 'Bijwerkingen radiotherapie bij prostaatkanker' krijgen patiënten meer informatie over de bijwerkingen die tijdens de behandeling en na de behandeling kunnen optreden.","Bijwerkingen radiotherapie bij prostaatkanker","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Oncologie, Urologie"
"1765314310-27","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Besnijdenis (Circumcisie)","https://indiveo.nl/divis/besnijdenis-circumcisie/","Tijdens een besnijdenis (circumcisie) van de man wordt de voorhuid van de penis operatief verwijderd. Meestal is deze ingreep nodig omdat de voorhuid vernauwd is. De huid zit dan te strak.



In deze Divi wordt uitgelegd hoe de patiënt zich op de operatie kan voorbereiden, hoe de operatie in zijn werk gaat en wat de patiënt na de operatie kan verwachten.","Besnijdenis (Circumcisie)","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Chirurgie, Urologie"
"1765314311-28","https://indiveo.nl/specialismen-zorg","Urologie","https://indiveo.nl/themas/urologie/","Behandeling met een niersteenvergruizer","https://indiveo.nl/divis/behandeling-met-een-niersteenvergruizer/","Bij een behandeling tegen nierstenen kan gebruik gemaakt worden van een niersteenvergruizer. Hiermee worden de nierstenen met schokgolven behandeld waardoor de stenen veranderen in gruis. Dit gruis wordt vervolgens uitgeplast.



In deze Divi krijgen patiënten informatie over wat nierstenen zijn en hoe de behandeling met de niersteenvergruizer gaat. Verder wordt er ook uitgelegd wat de patiënt na de ingreep kan verwachten en welke klachten er na de behandeling kunnen ontstaan.","Behandeling met een niersteenvergruizer","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Urologie"
"1765314315-29","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Zuurstofondersteuning in het ziekenhuis","https://indiveo.nl/divis/zuurstofondersteuning-in-het-ziekenhuis/","Bij een ziekte aan bijvoorbeeld de longen kan er minder zuurstof in het bloed zijn dan normaal. Ademen kan dan moeilijker zijn en daardoor kunnen patiënten zich benauwd voelen. 

Patiënten kunnen dan op verschillende manieren zuurstof krijgen. 



Deze Divi legt aan patiënten uit welke vormen van zuurstofondersteuning er in het ziekenhuis zijn en wat de gevolgen zijn van de ondersteuning voor bijvoorbeeld eten en drinken.","Zuurstofondersteuning in het ziekenhuis","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Anesthesie en pijnbestrijding, Cardiologie, Chirurgie, Geriatrie, Intensive Care, Longziekten, Oncologie, Spoedeisende Hulp en Gipskamer"
"1765314317-30","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Oefeningen na een botbreuk in het been","https://indiveo.nl/divis/oefeningen-na-een-botbreuk-in-het-been/","Het is belangrijk om na een gipsbehandeling voorzichtig te herstellen. Dit kan door rustig te  belasten en met oefeningen te beginnen.



Hier krijgen patiënten informatie over de oefeningen die zij kunnen doen na de gipsbehandeling.","Oefeningen na een botbreuk in het been","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Fysiotherapie, Spoedeisende Hulp en Gipskamer"
"1765314319-31","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Oefeningen na een botbreuk in de arm","https://indiveo.nl/divis/oefeningen-na-een-botbreuk-in-de-arm/","Het is belangrijk om na een gipsbehandeling voorzichtig te herstellen. Dit kan door rustig te  belasten en met oefeningen te beginnen.



Hier krijgen patiënten informatie over de oefeningen die zij kunnen doen na de gipsbehandeling.","Oefeningen na een botbreuk in de arm","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Fysiotherapie, Spoedeisende Hulp en Gipskamer"
"1765314321-32","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Longontsteking","https://indiveo.nl/divis/longontsteking/","Bij een longontsteking zijn de kleinere luchtwegen en luchtblaasjes ontstoken. Daardoor kunnen patiënten last krijgen van hoesten, benauwdheid, koorts en vermoeidheid. 



In de Divi 'longontsteking' wordt uitgelegd wat een longontsteking is en wat het verschil is tussen een longontsteking die veroorzaakt wordt door een bacterie of door een virus. Daarnaast krijgt de patiënt uitleg over hoe de diagnose gesteld wordt en welke behandelingen er zijn.","Longontsteking","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Intensive Care, Interne geneeskunde, Longziekten, Neonatologie, Spoedeisende Hulp en Gipskamer"
"1765314323-33","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Herbeoordeling op de spoedeisende hulp","https://indiveo.nl/divis/herbeoordeling-op-de-spoedeisende-hulp/","Wanneer patiënten een bezoek aan de spoedeisende hulp (SEH) hebben gebracht, kan het voorkomen dat ondanks goed onderzoek de oorzaak van de klachten nog niet goed vastgesteld kon worden. De artsen willen in sommige gevallen de patiént dan de volgende dag terugzien op de SEH voor een herbeoordeling. De klachten worden opnieuw onderzocht en meestal wordt er weer bloed afgenomen.



De Divi 'Herbeoordeling op de spoedeisende hulp' geeft aan patiënten uitleg over wat een herbeoordeling is en aan welke leefregels ze zich in de tussentijd moeten houden.","Herbeoordeling op de spoedeisende hulp","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Spoedeisende Hulp en Gipskamer"
"1765314325-34","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Gipsbehandeling bij een diabetische voet","https://indiveo.nl/divis/gipsbehandeling-bij-een-diabetische-voet/","Een van de behandelingen bij een diabetische voet is de gipsbehandeling. De gipsbehandeling zorgt ervoor dat de druk van de wond gaat en beter verdeeld wordt over de hele voet. Zo krijgt de wond op de voet de ruimte om te herstellen.","Gipsbehandeling bij een diabetische voet","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Interne geneeskunde, Spoedeisende Hulp en Gipskamer"
"1765314327-35","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","ECG","https://indiveo.nl/divis/ecg/","ECG staat voor ElektroCardioGram. Een ECG is een hartfilmpje dat de elektrische signalen van het hart in een grafiek weergeeft. Hiermee kan de arts de hartfunctie bekijken en mogelijke afwijkingen opsporen. In deze Divi wordt het verloop van het onderzoek uitgelegd en is te lezen hoe de patiënt zich moet voorbereiden op het onderzoek.","ECG","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Anesthesie en pijnbestrijding, Cardiologie, Chirurgie, Intensive Care, Interne geneeskunde, Longziekten, Spoedeisende Hulp en Gipskamer"
"1765314329-36","https://indiveo.nl/specialismen-zorg","Spoedeisende Hulp en Gipskamer","https://indiveo.nl/themas/spoedeisende-hulp-en-gipskamer/","Botbreuk","https://indiveo.nl/divis/botbreuk/","Wat is een botbreuk en hoe geneest een botbreuk precies? Dat zijn vragen die in deze Divi beantwoord worden. In de Divi 'Botbreuk' wordt in een animatie uitleg gegeven over een botbreuk en de verschillende behandelmogelijkheden. 



In de Divi wordt daarnaast aandacht besteed aan de leefregels bij gips. Tot slot worden in de Divi uitgebreid problemen die met gips kunnen ontstaan besproken, met de daarbij horende oplossing.","Botbreuk","Deze Divi bevat:
Animatie met voice-over en ondertiteling
B1 instructiekaarten
Begrijpelijke beelden","Spoedeisende Hulp en Gipskamer"
